"GeoUID","CMA_UID","CD_UID","CCS_UID","CSD_UID","Population2016","Region_name","freeman_cma_gentrifiable","freeman_cma_gentrified","freeman_cd_gentrifiable","freeman_cd_gentrified","freeman_ccs_gentrifiable","freeman_ccs_gentrified","ding_cma_gentrifiable","ding_cma_gentrified","ding_cma_gentrified_category","ding_cd_gentrifiable","ding_cd_gentrified","ding_cd_gentrified_category","ding_ccs_gentrifiable","ding_ccs_gentrified","ding_ccs_gentrified_category","grube_cma_gentrifiable","grube_cma_gentrified","grube_cd_gentrifiable","grube_cd_gentrified","grube_ccs_gentrifiable","grube_ccs_gentrified","steinmetz_cma_gentrifiable","steinmetz_cma_gentrified","steinmetz_cd_gentrifiable","steinmetz_cd_gentrified","steinmetz_ccs_gentrifiable","steinmetz_ccs_gentrified"
"4620149.00","24462","2466","2466023","2466023",3161,"Montréal",1,0,0,0,0,0,1,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
"4620185.00","24462","2466","2466023","2466023",5217,"Montréal",1,1,1,1,1,1,1,1,"intense",1,1,"intense",1,1,"intense",1,1,1,1,1,1,1,1,1,1,1,1
"4620222.00","24462","2466","2466023","2466023",3587,"Montréal",1,1,1,1,1,1,1,1,"moderate",1,1,"moderate",1,1,"moderate",1,0,1,0,1,0,1,0,1,0,1,0
"5590023.00","35559","3537","3537039","3537039",2381,"Windsor",1,0,1,0,0,0,1,0,,1,0,,0,0,,1,0,1,0,1,0,0,0,0,0,0,0
"5950101.00","35595","3558","3558090","3558090",2798,"Thunder Bay, Unorganized",0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,
"9330208.00","59933","5915","5915025","5915029",6215,"New Westminster",0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
"7250016.00","47725","4711","4711066","4711066",1645,"Saskatoon",1,1,1,1,1,1,1,1,"intense",1,1,"intense",1,1,"intense",1,0,1,0,1,0,1,1,1,1,1,1
"4620117.00","24462","2466","2466023","2466023",4359,"Montréal",1,0,1,0,1,0,1,0,,1,0,,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
"4620124.00","24462","2466","2466023","2466023",5729,"Montréal",1,0,1,0,1,0,1,0,,1,0,,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
"4500016.00","24450","2447","2447017","2447017",4991,"Granby",0,0,0,0,0,0,0,0,,0,0,,0,0,,1,0,1,0,1,0,0,0,0,0,0,0
"4620306.00","24462","2466","2466023","2466023",2847,"Montréal",1,1,1,1,1,1,1,1,"moderate",1,1,"moderate",1,1,"moderate",1,0,1,0,1,0,0,0,0,0,0,0
"5350528.42","35535","3521","3521010","3521005",5566,"Mississauga",0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
"5350508.00","35535","3521","3521010","3521005",3175,"Mississauga",0,0,0,0,0,0,0,0,,0,0,,0,0,,1,0,0,0,0,0,0,0,0,0,0,0
"5350160.00","35535","3520","3520005","3520005",3116,"Toronto",1,0,0,0,0,0,1,0,,0,0,,0,0,,1,0,1,0,1,0,0,0,0,0,0,0
"5350528.44","35535","3521","3521010","3521005",2081,"Mississauga",0,0,1,0,1,0,0,0,,1,0,,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
"6020553.00","46602","4611","4611040","4611040",4563,"Winnipeg",1,1,1,1,1,1,1,1,"moderate",1,1,"moderate",1,1,"moderate",1,0,1,0,1,0,1,0,1,0,1,0
"5350351.01","35535","3520","3520005","3520005",5497,"Toronto",1,0,1,0,1,0,1,0,,1,0,,1,0,,1,0,1,0,1,0,1,0,0,0,0,0
"6020539.02","46602","4611","4611040","4611040",3967,"Winnipeg",1,0,1,0,1,0,1,0,,1,0,,1,0,,1,0,1,0,1,0,0,0,0,0,0,0
"8250055.00","48825","4806","4806016","4806016",3141,"Calgary",0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
"9330185.10","59933","5915","5915004","5915004",5894,"Surrey",0,0,0,0,0,0,1,0,,1,0,,1,0,,1,0,1,0,0,0,1,0,1,0,0,0
"5350572.04","35535","3521","3521010","3521010",3124,"Brampton",0,0,1,0,1,0,0,0,,1,0,,1,0,,1,0,1,0,0,0,0,0,0,0,0,0
"8250076.15","48825","4806","4806016","4806016",2214,"Calgary",1,0,1,0,0,0,1,0,,1,0,,0,0,,1,0,1,0,1,0,0,0,0,0,0,0
"6020043.00","46602","4611","4611040","4611040",4119,"Winnipeg",0,0,0,0,0,0,1,1,"intense",1,1,"intense",1,1,"intense",1,0,1,0,1,0,1,0,1,0,1,0
