FID,FREQUENCY,CSDUID,CCSUID
-1,1,1001101,1001101
-1,1,1001105,1001101
-1,2,1001113,1001101
-1,1,1001120,1001101
-1,3,1001124,1001124
-1,1,1001126,1001124
-1,1,1001131,1001124
-1,1,1001136,1001124
-1,1,1001140,1001124
-1,1,1001144,1001124
-1,1,1001149,1001124
-1,1,1001155,1001155
-1,1,1001169,1001155
-1,1,1001174,1001155
-1,1,1001178,1001155
-1,1,1001181,1001155
-1,1,1001186,1001155
-1,1,1001192,1001155
-1,1,1001197,1001155
-1,1,1001203,1001203
-1,1,1001207,1001203
-1,1,1001214,1001214
-1,1,1001219,1001214
-1,1,1001225,1001214
-1,1,1001228,1001214
-1,1,1001234,1001234
-1,9,1001240,1001234
-1,1,1001254,1001234
-1,2,1001259,1001259
-1,1,1001263,1001259
-1,1,1001267,1001259
-1,2,1001270,1001259
-1,1,1001274,1001259
-1,1,1001277,1001259
-1,1,1001281,1001259
-1,1,1001285,1001259
-1,1,1001289,1001259
-1,2,1001293,1001293
-1,2,1001298,1001293
-1,6,1001304,1001304
-1,1,1001308,1001304
-1,1,1001312,1001304
-1,1,1001316,1001304
-1,1,1001321,1001321
-1,1,1001325,1001321
-1,1,1001328,1001321
-1,1,1001332,1001321
-1,1,1001335,1001321
-1,5,1001339,1001339
-1,1,1001343,1001339
-1,1,1001347,1001339
-1,1,1001352,1001339
-1,1,1001357,1001357
-1,1,1001361,1001357
-1,4,1001365,1001357
-1,10,1001370,1001357
-1,2,1001374,1001374
-1,1,1001375,1001374
-1,7,1001379,1001374
-1,4,1001385,1001374
-1,1,1001391,1001396
-1,1,1001394,1001396
-1,5,1001396,1001396
-1,1,1001405,1001405
-1,10,1001409,1001405
-1,3,1001415,1001421
-1,2,1001421,1001421
-1,1,1001426,1001421
-1,2,1001429,1001421
-1,1,1001434,1001421
-1,2,1001437,1001421
-1,1,1001441,1001421
-1,2,1001446,1001421
-1,2,1001452,1001472
-1,1,1001456,1001472
-1,2,1001461,1001472
-1,1,1001464,1001472
-1,2,1001469,1001472
-1,4,1001472,1001472
-1,39,1001485,1001519
-1,1,1001490,1001490
-1,5,1001494,1001490
-1,10,1001504,1001519
-1,3,1001505,1001519
-1,2,1001507,1001519
-1,11,1001509,1001519
-1,4,1001511,1001519
-1,1,1001512,1001519
-1,20,1001517,1001519
-1,178,1001519,1001519
-1,44,1001542,1001519
-1,2,1001551,1001519
-1,2,1001557,1001519
-1,2,1001559,1001519
-1,2,1001565,1001519
-1,1,1002001,1002001
-1,1,1002002,1002001
-1,5,1002005,1002001
-1,1,1002006,1002006
-1,3,1002008,1002006
-1,1,1002009,1002009
-1,2,1002011,1002009
-1,1,1002012,1002009
-1,1,1002013,1002009
-1,1,1002014,1002009
-1,1,1002015,1002009
-1,1,1002016,1002016
-1,1,1002017,1002016
-1,3,1002018,1002016
-1,6,1002019,1002016
-1,1,1002021,1002016
-1,2,1002022,1002001
-1,1,1002023,1002001
-1,10,1002024,1002001
-1,1,1002025,1002001
-1,1,1002026,1002026
-1,1,1002027,1002026
-1,1,1002029,1002029
-1,1,1002030,1002029
-1,1,1002031,1002031
-1,1,1002033,1002031
-1,1,1002034,1002031
-1,1,1002036,1002029
-1,1,1002037,1002031
-1,1,1002039,1002029
-1,1,1002040,1002031
-1,1,1002041,1002026
-1,1,1002044,1002044
-1,1,1002048,1002048
-1,1,1002055,1002026
-1,1,1003001,1003001
-1,1,1003002,1003001
-1,1,1003003,1003001
-1,1,1003004,1003001
-1,1,1003005,1003001
-1,1,1003006,1003006
-1,3,1003008,1003006
-1,1,1003009,1003009
-1,1,1003010,1003009
-1,1,1003011,1003009
-1,1,1003012,1003009
-1,1,1003014,1003014
-1,2,1003018,1003014
-1,2,1003019,1003014
-1,1,1003020,1003014
-1,1,1003021,1003021
-1,1,1003024,1003024
-1,1,1003026,1003024
-1,4,1003028,1003024
-1,1,1003031,1003031
-1,2,1003032,1003031
-1,2,1003033,1003031
-1,7,1003034,1003031
-1,1,1003038,1003038
-1,1,1003042,1003042
-1,1,1003045,1003042
-1,2,1003801,1003014
-1,3,1004001,1004001
-1,3,1004006,1004006
-1,2,1004011,1004011
-1,3,1004013,1004011
-1,2,1004016,1004016
-1,1,1004017,1004016
-1,4,1004018,1004016
-1,14,1004019,1004016
-1,4,1004020,1004016
-1,1,1004021,1004016
-1,4,1004022,1004022
-1,1,1004033,1004022
-1,1,1004037,1004022
-1,1,1004042,1004016
-1,1,1005001,1005001
-1,1,1005003,1005003
-1,9,1005004,1005001
-1,1,1005005,1005003
-1,1,1005006,1005001
-1,2,1005007,1005007
-1,1,1005008,1005007
-1,1,1005009,1005007
-1,1,1005010,1005010
-1,1,1005011,1005010
-1,6,1005012,1005010
-1,1,1005014,1005007
-1,1,1005015,1005010
-1,1,1005016,1005016
-1,1,1005017,1005016
-1,37,1005018,1005016
-1,1,1005019,1005019
-1,3,1005020,1005019
-1,1,1005022,1005019
-1,1,1005023,1005019
-1,1,1005024,1005019
-1,1,1005025,1005010
-1,1,1005028,1005010
-1,2,1005030,1005010
-1,1,1005033,1005016
-1,1,1005035,1005019
-1,1,1006001,1006001
-1,2,1006003,1006001
-1,1,1006008,1006008
-1,16,1006009,1006008
-1,1,1006011,1006008
-1,2,1006012,1006008
-1,1,1006014,1006014
-1,1,1006015,1006014
-1,27,1006017,1006014
-1,5,1006019,1006014
-1,2,1006021,1006014
-1,6,1006022,1006014
-1,2,1006026,1006014
-1,1,1006028,1006029
-1,1,1006029,1006029
-1,2,1006031,1006029
-1,5,1007001,1007001
-1,3,1007006,1007006
-1,3,1007009,1007009
-1,10,1007013,1007009
-1,1,1007014,1007014
-1,1,1007015,1007014
-1,1,1007016,1007014
-1,1,1007017,1007018
-1,1,1007018,1007018
-1,1,1007020,1007018
-1,4,1007022,1007018
-1,8,1007023,1007024
-1,1,1007024,1007024
-1,1,1007025,1007024
-1,1,1007026,1007024
-1,1,1007027,1007024
-1,2,1007028,1007028
-1,6,1007031,1007031
-1,1,1007032,1007031
-1,1,1007036,1007031
-1,1,1007037,1007038
-1,1,1007038,1007038
-1,1,1007039,1007038
-1,1,1007040,1007038
-1,1,1007041,1007038
-1,1,1007042,1007038
-1,1,1007043,1007038
-1,4,1007044,1007038
-1,1,1007045,1007045
-1,1,1007046,1007038
-1,4,1007047,1007045
-1,1,1007048,1007038
-1,2,1007049,1007051
-1,2,1007050,1007051
-1,1,1007051,1007051
-1,1,1007054,1007051
-1,1,1007056,1007056
-1,1,1007057,1007051
-1,4,1007060,1007056
-1,1,1007067,1007051
-1,1,1008001,1008001
-1,1,1008004,1008001
-1,3,1008006,1008001
-1,7,1008008,1008008
-1,2,1008011,1008008
-1,1,1008020,1008020
-1,1,1008021,1008020
-1,2,1008022,1008020
-1,1,1008023,1008020
-1,1,1008024,1008008
-1,1,1008025,1008020
-1,1,1008026,1008035
-1,1,1008029,1008035
-1,5,1008031,1008031
-1,1,1008032,1008031
-1,2,1008033,1008031
-1,5,1008035,1008035
-1,1,1008036,1008036
-1,1,1008037,1008036
-1,1,1008038,1008036
-1,1,1008039,1008036
-1,1,1008040,1008036
-1,2,1008042,1008036
-1,1,1008043,1008036
-1,7,1008044,1008036
-1,1,1008045,1008036
-1,1,1008046,1008046
-1,1,1008047,1008046
-1,1,1008048,1008046
-1,1,1008049,1008046
-1,1,1008052,1008053
-1,1,1008053,1008053
-1,2,1008054,1008053
-1,1,1008055,1008053
-1,1,1008056,1008053
-1,1,1008058,1008058
-1,1,1008059,1008058
-1,2,1008060,1008058
-1,4,1008061,1008058
-1,1,1008062,1008058
-1,1,1008063,1008058
-1,1,1008064,1008058
-1,1,1008065,1008065
-1,1,1008066,1008058
-1,1,1008067,1008067
-1,1,1008069,1008065
-1,1,1008070,1008067
-1,1,1008071,1008067
-1,1,1008072,1008067
-1,1,1008073,1008067
-1,1,1008074,1008074
-1,1,1008075,1008074
-1,2,1008076,1008074
-1,1,1008077,1008074
-1,1,1008078,1008074
-1,3,1008079,1008074
-1,1,1008091,1008074
-1,1,1008092,1008074
-1,1,1008093,1008074
-1,1,1008095,1008074
-1,1,1008096,1008074
-1,1,1008098,1008058
-1,1,1009001,1009001
-1,1,1009004,1009001
-1,2,1009006,1009001
-1,1,1009008,1009001
-1,1,1009009,1009009
-1,1,1009010,1009009
-1,1,1009011,1009009
-1,1,1009012,1009009
-1,2,1009013,1009009
-1,1,1009015,1009041
-1,1,1009016,1009041
-1,1,1009017,1009041
-1,1,1009018,1009047
-1,2,1009019,1009047
-1,1,1009020,1009041
-1,6,1009021,1009021
-1,2,1009022,1009047
-1,1,1009023,1009021
-1,1,1009024,1009021
-1,1,1009026,1009021
-1,1,1009027,1009001
-1,1,1009028,1009001
-1,4,1009029,1009031
-1,1,1009030,1009009
-1,2,1009031,1009031
-1,2,1009032,1009031
-1,1,1009034,1009031
-1,1,1009035,1009031
-1,1,1009037,1009009
-1,1,1009039,1009031
-1,1,1009041,1009041
-1,1,1009042,1009041
-1,1,1009047,1009047
-1,1,1009048,1009047
-1,1,1010001,1010001
-1,1,1010002,1010001
-1,1,1010003,1010001
-1,1,1010004,1010001
-1,1,1010005,1010001
-1,1,1010006,1010001
-1,1,1010007,1010001
-1,1,1010008,1010008
-1,1,1010009,1010008
-1,1,1010010,1010008
-1,1,1010011,1010008
-1,1,1010012,1010008
-1,1,1010013,1010008
-1,2,1010020,1010020
-1,1,1010022,1010020
-1,15,1010025,1010020
-1,1,1010029,1010029
-1,15,1010032,1010029
-1,4,1010034,1010029
