OBJECTID,CSDUID,CSDNAME,CSDTYPE,PRUID,PRNAME,CDUID,CDNAME,CDTYPE,CCSUID,CCSNAME,ERUID,ERNAME,SACCODE,SACTYPE,CMAUID,CMAPUID,CMANAME,CMATYPE
1,1001181,Riverhead,T,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1001,Division No.  1,CDR,1001214,"Division No.  1, Subd. C",1010,Avalon Peninsula,999,7, , , , 
2,1001186,Admirals Beach,T,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1001,Division No.  1,CDR,1001214,"Division No.  1, Subd. C",1010,Avalon Peninsula,999,7, , , , 
3,1001192,St. Joseph's,T,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1001,Division No.  1,CDR,1001214,"Division No.  1, Subd. C",1010,Avalon Peninsula,999,7, , , , 
4,1001197,Mount Carmel-Mitchells Brook-St. Catherine's,T,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1001,Division No.  1,CDR,1001214,"Division No.  1, Subd. C",1010,Avalon Peninsula,997,5, , , , 
5,1001434,South River,T,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1001,Division No.  1,CDR,1001472,Holyrood,1010,Avalon Peninsula,996,4, , , , 
6,1001113,Trepassey,T,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1001,Division No.  1,CDR,1001214,"Division No.  1, Subd. C",1010,Avalon Peninsula,997,5, , , , 
7,1001120,St. Shott's,T,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1001,Division No.  1,CDR,1001214,"Division No.  1, Subd. C",1010,Avalon Peninsula,999,7, , , , 
8,1001124,"Division No.  1, Subd. U",SNO,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1001,Division No.  1,CDR,1001214,"Division No.  1, Subd. C",1010,Avalon Peninsula,996,4, , , , 
9,1001126,Cape Broyle,T,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1001,Division No.  1,CDR,1001214,"Division No.  1, Subd. C",1010,Avalon Peninsula,997,5, , , , 
10,1001131,Renews-Cappahayden,T,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1001,Division No.  1,CDR,1001214,"Division No.  1, Subd. C",1010,Avalon Peninsula,996,4, , , , 
11,1001136,Fermeuse,T,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1001,Division No.  1,CDR,1001214,"Division No.  1, Subd. C",1010,Avalon Peninsula,996,4, , , , 
12,1001140,Port Kirwan,T,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1001,Division No.  1,CDR,1001214,"Division No.  1, Subd. C",1010,Avalon Peninsula,999,7, , , , 
13,1001144,Aquaforte,T,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1001,Division No.  1,CDR,1001214,"Division No.  1, Subd. C",1010,Avalon Peninsula,999,7, , , , 
14,1001149,Ferryland,T,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1001,Division No.  1,CDR,1001214,"Division No.  1, Subd. C",1010,Avalon Peninsula,997,5, , , , 
15,1001155,"Division No.  1, Subd. W",SNO,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1001,Division No.  1,CDR,1001214,"Division No.  1, Subd. C",1010,Avalon Peninsula,996,4, , , , 
16,1001169,St. Vincent's-St. Stephen's-Peter's River,T,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1001,Division No.  1,CDR,1001214,"Division No.  1, Subd. C",1010,Avalon Peninsula,996,4, , , , 
17,1001174,Gaskiers-Point La Haye,T,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1001,Division No.  1,CDR,1001214,"Division No.  1, Subd. C",1010,Avalon Peninsula,997,5, , , , 
18,1001207,Colinet,T,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1001,Division No.  1,CDR,1001214,"Division No.  1, Subd. C",1010,Avalon Peninsula,999,7, , , , 
19,1001214,"Division No.  1, Subd. C",SNO,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1001,Division No.  1,CDR,1001214,"Division No.  1, Subd. C",1010,Avalon Peninsula,999,7, , , , 
